shipment_key,shipment_id,supplier_key,carrier_key,route_key,warehouse_key,product_key,order_date,promised_date,actual_date,status,delay_days,shipment_cost,weight_kg,quantity
34,SHP-00034,86,20,29,7,172,2021-04-08,2021-04-14,2021-04-16,In Transit,2,10438.07,503.99,972
35,SHP-00035,228,7,34,39,31,2021-01-28,2021-02-19,2021-02-19,In Transit,0,12997.15,1191.41,599
36,SHP-00036,195,13,137,10,12,2021-03-26,2021-04-14,2021-04-12,Delivered,0, ,2732.99,743
37,SHP-00037,135,60,129,2,43,2021-09-19,2021-09-26,2021-09-24,Returned,0,19698.6,3586.69,70
38,SHP-00038,20,11,113,33,99,2024-05-12,2024-05-21,2024-05-21,Delivered,0,15294.29,1987.59,892
39,SHP-00039,182,47,135,17,78,2024-02-26,2024-03-22,2024-03-20,,0,12624.57,44.5,526
40,SHP-00040,224,51,14,16,211,2022-03-28,2022-04-07,2022-04-05, ,0,,740.87,950
41,SHP-00041,84,4,161,1,211,2022-03-07,2022-03-25,2022-04-15,In Transit,21,20826.77,1320.34,920
42,SHP-00042,243,42,66,39,142,2022-12-30,2023-01-07,2023-01-06,Delivered,0,21534.9,3902.61,764
43,SHP-00043,118,12,46,13,146,2022-02-27,2022-03-14,2022-03-23,Delayed,9,5174.74,1843.33,96
44,SHP-00044,233,42,104,7,186,2023-10-02,2023-10-26,2023-11-05,Delivered,,18003.23,939.4,437
45,SHP-00045,22,18,37,39,4,2023-12-15,2023-12-20,2023-12-20,Delayed,0,,4152.62,136
46,SHP-00046,63,4,140,18,161,2021-01-20,2021-01-24,2021-01-23,Delivered,0,10621.32,2221.74,340
47,SHP-00047,38,23,168,19,58,2024-01-19,2024-01-23,2024-01-25,Delivered,2,19513.41,6.25,233
48,SHP-00048,236,6,12,39,39,2023-02-27,2023-03-21,2023-03-21,Delivered,0,21046.62,381.63,370
49,SHP-00049,128,43,95,17,208,2021-12-31,2022-01-14,2022-01-12,Delayed,0,14713.29,4087.85,107
50,SHP-00050,110,47,72,10,24,2021-06-06,2021-06-07,2021-06-07,Delivered,0,8654.13,3927.77,69
51,SHP-00051,236,16,99,27,141,2022-10-24,2022-10-29,2022-11-11,Cancelled,13,15285.92,3967.55,822
52,SHP-00052,23,16,93,1,53,2023-10-16,2023-11-03,2023-11-01,Delivered,0,12823.11,2889.47,767
53,SHP-00053,219,36,108,16,54,2021-02-05,2021-02-17,2021-02-17,Delivered,0,8002.8,3893.28,472
54,SHP-00054,123,54,153,11,8,2022-04-05,2022-04-07,2022-04-07,Delivered,0,677.0,1858.55,679
55,SHP-00055,185,22,114,1,74,2021-10-28,2021-11-09,2021-11-17,Delayed,8,4095.1,3740.59,307
56,SHP-00056,67,59,147,33,79,2021-08-16,2021-08-21,2021-09-11,Delivered,,338.0,3399.58,568
57,SHP-00057,191,36,155,5,210,2022-04-11,2022-04-25,2022-04-24,Returned,0,20928.5, ,402
58,SHP-00058,93,39,200,22,8,2023-08-18,2023-09-03,,Delayed,,3709.65,3233.31,112
59,SHP-00059,146,37,12,37,203,2022-05-06,2022-05-16,2022-05-20,Delivered,4,6869.73,,276
60,SHP-00060,250,9,180,7,85,2023-09-18,2023-09-20,2023-09-23,Delivered,3,16561.78,2501.18,401
61,SHP-00061,119,6,161,6,244,2023-04-15,2023-05-09,2023-05-07,,0,17533.92,,166
62,SHP-00062,202,9,87,19,93,2022-04-20,2022-04-27,2022-04-25,Delivered,0,11085.48,3043.77,788
63,SHP-00063,4,10,197,20,141,2024-06-30,2024-07-14,2024-08-06,Delayed,23,21934.51,4790.09,510
64,SHP-00064,122,17,196,29,167,2021-06-28,2021-07-14,2021-07-25,Delivered,11,6234.57,446.33,791
65,SHP-00065,81,24,22,27,130,2021-10-15,2021-10-19,2021-10-18,Delivered,,18868.32,645.1,866
66,SHP-00066,146,26,19,15,100,2023-07-11,2023-07-20,2023-07-18,Delivered,0,5461.49,39.91,298
67,SHP-00067,111,13,103,22,17,2023-08-05,2023-08-27,2023-09-11,Returned,15,10280.28,3658.94,945
68,SHP-00068,9,39,199,25,16,2022-10-12,2022-10-23,2022-10-22,Cancelled,0,10055.27,4742.68,219
69,SHP-00069,21,20,183,29,224,2023-01-11,2023-01-25,2023-01-25,Delivered,0,15072.4,3178.51,71
70,SHP-00070,124,31,138,11,248,2023-05-10,2023-05-27,2023-06-05,Delivered,9,19845.95,3765.93,358
71,SHP-00071,211,47,191,21,4,2023-06-14,2023-06-26,2023-06-24,Delivered,0,19673.77,3613.67,149
72,SHP-00072,33,41,116,38,25,2021-11-05,2021-11-20,2021-11-19,Delivered,0,14859.4,3611.49,966
73,SHP-00073,4,24,94,2,78,2021-03-16,2021-03-23,2021-03-23,Returned,0,13260.66,1048.97,696
74,SHP-00074,46,30,110,24,46,2022-09-21,2022-10-08,2022-10-08,Cancelled,0,7802.86,2129.36,344
75,SHP-00075,27,6,167,2,158,2024-02-07,2024-02-27,2024-03-12,Delayed,14,15475.83,4529.43,90
76,SHP-00076,117,36,98,8,51,2023-04-23,2023-04-27,2023-04-25,Delivered,0,11123.62,3338.62,217
77,SHP-00077,232,51,107,16,2,2023-08-20,2023-08-24,2023-08-23,,0,8304.7,1418.17,271
78,SHP-00078,101,13,158,26,213,2023-04-30,2023-05-02,2023-05-07,Returned,5,13238.81,4795.81,248
79,SHP-00079,162,37,101,17,215,2021-04-16,2021-05-05,2021-05-03,Delivered,0,7066.94,1155.0,130
80,SHP-00080,147,25,7,9,117,2024-02-07,2024-02-13,2024-02-13,Delivered,0,13872.78,139.29,943
81,SHP-00081,240,10,161,2,164,2023-01-04,2023-01-10,2023-01-18,Returned,8,16006.25,1890.66,53
82,SHP-00082,26,32,6,27,19,2024-04-01,2024-04-05,2024-04-25,Delivered,20,19691.84,2471.33,859
83,SHP-00083,156,55,9,8,250,2023-09-24,2023-10-15,2023-11-06,In Transit,22,9974.24,1493.92,676
84,SHP-00084,195,10,56,24,30,2022-12-04,2022-12-16,2022-12-14,Delivered,0,16343.16,,24
85,SHP-00085,142,42,76,30,191,2022-03-21,2022-03-22,,Delivered,,15246.08,1368.48,95
86,SHP-00086,151,20,43,14,245,2023-10-13,2023-10-27,2023-10-26,Delivered,0,15146.56,1405.56,598
87,SHP-00087,210,5,116,11,228,2023-09-27,2023-10-11,2023-10-10,Delivered,0,13741.75,2146.68,383
88,SHP-00088,56,43,96,24,38,2021-03-11,2021-03-28,2021-04-11,Returned,14,755.68,1613.54,367
89,SHP-00089,135,14,27,36,72,2022-10-06,2022-10-10,2022-11-02,In Transit,,12527.58, ,291
90,SHP-00090,32,29,44,39,84,2024-05-29,2024-06-20,2024-07-11,Delayed,21,7110.66,4013.67,282
91,SHP-00091,87,42,5,5,121,2024-04-25,2024-05-08,2024-05-09,Delivered,1,6327.61,2014.17,941
92,SHP-00092,127,55,165,8,216,2021-07-14,2021-07-28,2021-07-27,In Transit,0,12286.26,3061.68,714
93,SHP-00093,231,52,95,35,2,2023-02-05,2023-02-25,2023-03-05,Delivered,8,21858.53,3621.32,91
94,SHP-00094,150,30,31,9,82,2021-04-18,2021-04-27,2021-04-27,Delivered,0,7312.3,4062.47,175
95,SHP-00095,58,6,68,19,183,2021-10-31,2021-11-25,2021-11-24,Delivered,0,5367.46,2450.62,792
96,SHP-00096,49,32,27,22,54,2021-06-19,2021-07-01,2021-07-01,Delivered,0,1745.66,1062.53,480
97,SHP-00097,250,29,159,33,52,2024-04-24,2024-05-19,2024-05-18,Delivered,0,14450.84,528.48,939
98,SHP-00098,229,30,48,18,8,2023-03-31,2023-04-07,2023-04-21,Delivered,14,12741.61,2304.88,113
99,SHP-00099,95,7,13,25,188,2023-09-03,2023-09-25,2023-09-24,Returned,0,9549.27,2511.05,55
100,SHP-00100,246,8,57,8,14,2023-05-16,2023-05-23,,Delayed,,6142.77,2593.19,52
101,SHP-00101,178,18,127,14,44,2021-03-15,2021-04-03,2021-04-06,Delivered,3,13682.83,1959.66,752
102,SHP-00102,44,21,175,5,43,2022-02-21,2022-03-05,2022-03-03,Delivered,0,11120.96,2383.9,929
103,SHP-00103,153,23,122,38,1,2022-01-19,2022-01-30,2022-01-30,Cancelled,0,556.11,4406.31,779
104,SHP-00104,86,29,126,23,140,2023-09-28,2023-10-06,2023-10-06,Delivered,0,11603.4,733.09,312
105,SHP-00105,29,18,176,34,187,2022-06-12,2022-07-04,2022-07-03,In Transit,0,7408.88,3319.75,864
106,SHP-00106,50,59,97,7,248,2021-02-12,2021-02-17,2021-02-17,Delivered,0,776.81,3479.09,212
107,SHP-00107,80,13,11,38,134,2022-07-15,2022-08-05,2022-08-04,Returned,0,20036.17,1656.11,968
108,SHP-00108,75,40,143,11,78,2022-12-05,2022-12-25,2023-01-09,In Transit,15,21331.39,3427.7,154
109,SHP-00109,1,4,65,9,90,2023-09-25,2023-10-05,2023-10-15,Delivered,,18177.81,,361
110,SHP-00110,122,60,91,16,208,2022-08-04,2022-08-21,2022-08-19,Delivered,0,3223.91,2160.37,298
111,SHP-00111,52,17,35,27,142,2023-03-03,2023-03-17,2023-03-17,Delivered,0,3895.31,4379.69,143
112,SHP-00112,135,29,178,21,129,2022-02-13,2022-02-23,,Delivered,,13860.18,1879.95,448
113,SHP-00113,78,51,63,38,132,2023-01-03,2023-01-18,2023-01-17,Delayed,0,,3833.9,144
114,SHP-00114,215,4,22,4,70,2023-02-04,2023-02-09,2023-02-07,Delivered,0,8699.24,29.96,896
115,SHP-00115,37,36,190,32,35,2021-08-08,2021-08-19,2021-08-18,In Transit,0,2759.59,2554.2,719
116,SHP-00116,155,57,31,34,25,2022-04-03,2022-04-25,2022-04-25,Delivered,0,20610.03,3118.39,
117,SHP-00117,140,17,157,29,220,2022-05-22,2022-05-29,2022-05-30,Cancelled,1,20380.37,2418.7,241
118,SHP-00118,75,43,26,38,127,2024-06-17,2024-06-21,2024-06-19,Delivered,,14498.49,3708.38,488
119,SHP-00119,78,3,166,40,114,2023-01-23,2023-02-14,2023-02-27,Delivered,13,17915.51,1417.25,
120,SHP-00120,135,25,132,5,45,2021-03-29,2021-04-10,2021-04-09,Cancelled,0,21600.41,4279.23,358
121,SHP-00121,247,31,156,12,148,2021-11-07,2021-11-19,2021-11-17,Delivered,0,16801.11,1969.76,661
122,SHP-00122,41,15,25,7,128,2023-11-05,2023-11-30,2023-11-29,In Transit,0,12817.87, ,31
123,SHP-00123,65,8,10,5,114,2023-09-03,2023-09-14,2023-09-12,Delivered,0,3910.56,3779.12, 
124,SHP-00124,113,44,74,15,52,2023-02-06,2023-02-26,2023-02-26,In Transit,0,9944.26,3187.05,201
125,SHP-00125,146,35,19,22,48,2021-11-28,2021-12-12,2021-12-12,Delivered,0,14743.62,4050.08,369
126,SHP-00126,97,56,19,37,21,2023-12-18,2024-01-03,2024-01-10,Cancelled,7,7907.03,4267.14,450
127,SHP-00127,65,25,181,23,18,2021-09-18,2021-10-05,,Delivered,,1227.39,112.91,297
128,SHP-00128,240,59,68,2,9,2021-11-20,2021-11-30,2021-12-19,Returned,19,11051.03,283.43,114
129,SHP-00129,127,5,145,40,180,2022-11-24,2022-12-08,2022-12-19,Delivered,11,12081.21,4620.89, 
130,SHP-00130,167,23,111,31,78,2021-03-14,2021-03-26,2021-03-25,Delivered,0,10585.1,3616.7,509
131,SHP-00131,97,45,33,28,180,2022-04-12,2022-04-13,2022-04-13,Delivered,0,18940.45,3689.67,54
132,SHP-00132,192,49,138,37,12,2023-05-25,2023-06-12,2023-06-27,In Transit,15,7614.45,1191.0,11
133,SHP-00133,102,31,169,8,169,2021-01-31,2021-02-24,2021-02-26,Delivered,2,6288.85,3012.16,300
134,SHP-00134,168,16,135,18,82,2021-06-07,2021-06-10,2021-06-28,In Transit,18,18906.85,1513.73,565
135,SHP-00135,32,24,186,10,10,2024-01-14,2024-01-31,2024-02-12,Cancelled,12,4557.85,4879.7,760
136,SHP-00136,219,40,99,32,5,2022-04-27,2022-05-20,2022-05-19,Delivered,0,839.26,1921.01, 
137,SHP-00137,156,49,87,17,208,2023-02-23,2023-03-08,2023-03-08,Delivered,0,11761.57,156.72,
138,SHP-00138,185,60,174,19,220,2024-04-25,2024-05-02,2024-05-01,Delayed,0,17239.22,3762.05,567
139,SHP-00139,205,44,71,6,64,2024-01-01,2024-01-16,2024-01-14,Returned,0,21130.68,4963.07,
140,SHP-00140,170,21,68,12,114,2024-01-17,2024-01-27,2024-01-26,Delivered,,14537.14,4051.34,128
141,SHP-00141,142,21,17,29,47,2023-08-06,2023-08-07,2023-08-06,In Transit,,18590.72,293.11,284
142,SHP-00142,176,33,113,38,82,2022-06-13,2022-07-08,2022-07-07,Delivered,0,3921.45,3279.96,
143,SHP-00143,90,7,20,33,114,2021-03-27,2021-04-14,2021-04-14,Delivered,0,452.99,4247.07,46
144,SHP-00144,202,24,86,27,230,2021-08-20,2021-09-06,2021-09-13,In Transit,7, ,2132.49,26
145,SHP-00145,131,46,200,33,201,2023-02-07,2023-02-23,2023-02-22,Delivered,0,6470.11,2956.22,217
146,SHP-00146,58,37,129,37,162,2024-04-05,2024-04-28,2024-04-28,Delivered,0,3386.64,3246.13,982
147,SHP-00147,76,59,63,22,63,2024-01-28,2024-02-21,2024-02-19,Returned,0,13395.53,2601.78,200
148,SHP-00148,168,31,155,15,115,2023-01-12,2023-01-20,2023-01-18,Delivered,0,21071.63,398.63,79
149,SHP-00149,31,6,105,27,130,2023-05-08,2023-05-16,2023-05-16,Delivered,0,9026.82,690.87,294
150,SHP-00150,223,3,111,2,177,2021-10-31,2021-11-19,2021-11-19,,0,2745.28,2772.98,761
151,SHP-00151,87,38,156,40,28,2021-12-08,2021-12-11,2021-12-28,Delayed,17,8910.75,3559.98,919
152,SHP-00152,197,38,131,6,39,2021-04-03,2021-04-06,2021-04-05,Delayed,0,16321.27,3788.35,752
153,SHP-00153,88,4,145,34,230,2021-01-16,2021-02-04,2021-02-02,Delayed,0,3970.22,1396.64,238
154,SHP-00154,133,18,148,40,81,2023-12-12,2023-12-31,2023-12-30,Delayed,0,4007.31,4069.97,749
155,SHP-00155,60,43,72,10,25,2021-07-23,2021-08-04,2021-08-08,Cancelled,4,19489.15,4588.48,772
156,SHP-00156,73,37,110,29,134,2022-02-28,2022-03-18,2022-03-18,Delivered,,11922.27,33.52,27
157,SHP-00157,72,47,172,8,248,2021-09-16,2021-10-01,,Delivered,,20230.12,4444.42,89
158,SHP-00158,81,58,10,28,26,2022-12-26,2022-12-29,2022-12-29,In Transit,0,7443.88,3677.66,76
159,SHP-00159,68,31,39,32,209,2023-12-04,2023-12-15,2024-01-02,Delivered,18,13837.54,2931.8,226
160,SHP-00160,182,12,10,27,177,2022-01-19,2022-02-12,2022-02-12,Delivered,0,18871.73, ,572
161,SHP-00161,126,51,162,26,154,2022-06-23,2022-07-13,2022-07-11,In Transit,0,14487.01,1500.64,300
162,SHP-00162,30,23,179,26,181,2023-01-02,2023-01-20,2023-01-20,Delivered,0,9893.09,2124.44,980
163,SHP-00163,67,44,82,27,101,2021-09-20,2021-10-15,2021-10-14,,0,5967.53,4254.97,576
164,SHP-00164,200,41,29,40,157,2023-06-25,2023-07-09,2023-07-09,Delivered,0,18025.69,2049.18,171
165,SHP-00165,13,34,54,24,138,2022-11-07,2022-11-12,2022-11-12,Delivered,0,2076.53,4561.16, 
166,SHP-00166,10,55,6,34,27,2022-02-11,2022-02-17,2022-02-16,Delivered,0,3634.75,2067.09,255
167,SHP-00167,168,26,34,18,221,2023-10-25,2023-11-07,2023-11-07,,0,13931.07,169.08,833
168,SHP-00168,50,54,156,20,201,2021-06-23,2021-06-26,2021-07-20,,24,16364.08,4594.89,603
169,SHP-00169,105,36,72,31,73,2022-10-25,2022-11-08,2022-11-08,Cancelled,0,5887.51,2357.11,96
170,SHP-00170,60,29,95,31,145,2023-12-29,2024-01-15,2024-01-16,Delayed,1,16803.14,2261.46,26
171,SHP-00171,22,10,104,40,215,2021-08-12,2021-09-02,,Delivered,,21470.4,846.44,502
172,SHP-00172,154,27,2,18,177,2023-08-28,2023-09-14,2023-09-12,Delivered,0,5619.32,1689.47,330
173,SHP-00173,21,59,27,28,180,2022-03-05,2022-03-30,2022-03-29,In Transit,0,5262.69,2415.09,758
174,SHP-00174,135,32,36,36,108,2021-06-08,2021-06-21,2021-06-22,Delivered,1,9683.47,195.5,175
175,SHP-00175,167,11,37,19,134,2023-03-29,2023-03-30,,Delayed,,15866.75,1355.68,911
176,SHP-00176,135,46,122,1,82,2022-02-23,2022-03-15,2022-03-14,Delivered,0,4712.52,3733.87,951
177,SHP-00177,153,11,18,23,163,2023-05-03,2023-05-09,2023-05-12,Delivered,3,4210.07,2688.75,63
178,SHP-00178,66,36,139,13,20,2024-02-20,2024-02-28,2024-02-28,Delivered,0,20062.08,3646.67,786
179,SHP-00179,152,39,71,40,172,2024-04-28,2024-05-03,2024-05-10,Delivered,7,2874.82,3224.22,590
180,SHP-00180,14,9,131,29,109,2023-08-28,2023-09-04,2023-09-12,Delivered,8,13566.83,,80
181,SHP-00181,136,6,155,14,245,2023-08-25,2023-09-05,,Delivered,,8712.1,3531.28,859
182,SHP-00182,46,2,94,30,198,2021-12-07,2021-12-28,2021-12-26,Delayed,0,10833.05,3426.9,446
183,SHP-00183,151,20,85,7,234,2022-12-10,2023-01-03,2023-01-01,Delivered,0,4020.22,53.56,539
184,SHP-00184,249,37,8,31,156,2023-01-26,2023-02-04,2023-02-04,Delivered,0,14152.66,4978.69,281
185,SHP-00185,218,9,22,27,214,2023-07-20,2023-08-05,2023-08-29,Returned,24,,4471.35,754
186,SHP-00186,218,58,82,11,232,2021-09-02,2021-09-04,2021-09-02,Delivered,0,6176.77,3275.6,341
187,SHP-00187,22,12,114,3,71,2024-04-16,2024-05-10,2024-05-08,Delayed,, ,964.86,152
188,SHP-00188,119,6,30,6,47,2024-05-31,2024-06-07,2024-06-06,Delivered,0,12376.25,2331.37,89
189,SHP-00189,79,54,175,13,192,2021-06-26,2021-07-02,,Delivered,,17373.33,1872.77,742
190,SHP-00190,67,45,113,17,24,2021-09-29,2021-10-09,2021-11-01,Delivered,23,7010.35,941.39,182
191,SHP-00191,146,14,180,28,89,2023-10-01,2023-10-13,2023-10-12,Returned,0,13919.48,183.85,395
192,SHP-00192,162,12,122,9,120,2022-08-15,2022-08-22,2022-08-20,Delivered,0,17037.66,,119
193,SHP-00193,166,58,26,12,234,2024-04-16,2024-04-27,2024-04-26,Delivered,0,2391.02,4505.14,487
194,SHP-00194,65,47,96,39,87,2023-01-04,2023-01-14,2023-02-01,Delivered,18,13603.81,3472.55,485
195,SHP-00195,152,2,42,33,43,2023-09-16,2023-10-08,2023-10-08,Delivered,0,19828.95,2105.05,977
196,SHP-00196,89,30,102,11,118,2022-09-08,2022-09-28,2022-09-26,Delivered,0,7395.92,4851.63,785
197,SHP-00197,96,1,123,11,89,2021-01-02,2021-01-24,2021-01-30,Delivered,6,18884.99,3620.73,569
198,SHP-00198,240,9,103,21,230,2021-07-24,2021-08-09,2021-08-08,Cancelled,0,18306.5,3815.33,132
199,SHP-00199,61,24,93,22,129,2022-08-03,2022-08-25,2022-08-24,Returned,0,10793.97,2932.23,624
200,SHP-00200,39,19,80,25,173,2021-01-04,2021-01-24,2021-01-23,Delivered,0,4216.56,2177.12,670
201,SHP-00201,104,52,4,11,82,2023-09-12,2023-09-14,2023-09-28,Delayed,14,18369.69,413.39,104
202,SHP-00202,155,52,116,33,96,2021-09-21,2021-10-10,2021-10-08,Cancelled,0,14777.27,272.75,760
203,SHP-00203,243,60,182,38,67,2023-08-28,2023-09-20,2023-09-18,Delivered,0,21578.09,1917.48,
204,SHP-00204,95,17,109,22,173,2022-02-09,2022-02-26,2022-02-24, ,0,6269.54,2448.21,911
205,SHP-00205,137,48,102,16,45,2022-08-30,2022-09-24,2022-09-22,Delivered,0,483.67,3179.99,366
206,SHP-00206,239,47,135,37,118,2021-06-22,2021-07-10,2021-08-03,Cancelled,24,6115.85,3445.02,846
207,SHP-00207,238,41,192,20,109,2021-03-25,2021-03-28,,Delivered,,21492.87,4410.21,743
208,SHP-00208,139,55,63,4,96,2023-04-01,2023-04-02,2023-04-26,Delivered,24,9592.23,958.38,311
209,SHP-00209,54,2,107,9,71,2024-03-20,2024-04-05,2024-04-19,Delivered,14,14804.53,4548.75,
210,SHP-00210,151,27,163,39,85,2022-07-01,2022-07-16,2022-07-14,Delivered,0,15627.29,3057.01,624
211,SHP-00211,173,25,66,26,9,2024-01-14,2024-01-27,2024-01-25,In Transit,,18115.57,4271.81,546
212,SHP-00212,40,40,150,11,160,2024-03-16,2024-03-19,2024-03-17,Delivered,0,21668.62,1459.26,691
213,SHP-00213,32,7,102,14,55,2022-12-22,2023-01-10,2023-01-10,Delivered,0,10847.58,4605.9,622
214,SHP-00214,28,43,176,21,129,2021-08-15,2021-09-03,2021-09-09,Delayed,6,7809.34,4502.31,789
215,SHP-00215,86,49,119,12,175,2024-01-02,2024-01-20,2024-01-19,Cancelled,0,20347.65,4366.73,4
216,SHP-00216,188,27,6,21,157,2021-07-21,2021-08-03,2021-08-02,Delayed,0,736.0,3048.61,83
217,SHP-00217,42,30,95,16,45,2022-05-27,2022-06-02,2022-06-01,,0,13269.4,1946.82,198
218,SHP-00218,250,30,129,8,206,2023-08-26,2023-09-18,2023-09-17,Delivered,0,4633.46,1225.39,248
219,SHP-00219,201,27,67,35,31,2024-05-22,2024-06-02,2024-06-02,,0,807.86,4335.34,883
220,SHP-00220,184,60,131,29,110,2024-05-28,2024-06-18,2024-06-16,Cancelled,,1409.32,4141.57,41
221,SHP-00221,25,22,165,5,118,2021-09-12,2021-09-16,2021-09-25,Delivered,9,8125.57,709.92,495
222,SHP-00222,74,2,57,24,145,2023-10-04,2023-10-29,2023-11-07,Cancelled,9,9963.24,,144
223,SHP-00223,38,39,75,25,66,2023-01-13,2023-02-05,,Delivered,,6773.84,3366.46,825
224,SHP-00224,249,23,165,10,151,2022-04-12,2022-04-13,2022-04-11,Delivered,0,15892.95,4980.59,634
225,SHP-00225,88,15,80,14,58,2023-10-24,2023-11-04,2023-11-03,Cancelled,0,19170.13,2420.1,685
226,SHP-00226,202,34,59,13,94,2021-11-04,2021-11-13,2021-11-11,Delivered,0,10159.15,4531.53,867
227,SHP-00227,134,16,63,17,205,2021-03-09,2021-03-22,2021-03-21,Delivered,0,11811.11,4363.1,58
228,SHP-00228,17,58,34,34,78,2022-01-10,2022-02-02,2022-02-02,Cancelled,0,21548.37,1387.53,751
229,SHP-00229,114,6,122,13,26,2021-05-05,2021-05-12,2021-05-31,Cancelled,19,11858.85,1594.43,202
230,SHP-00230,163,40,194,30,1,2024-01-16,2024-02-04,2024-02-20,Delivered,16,18958.95,4432.61,200
231,SHP-00231,71,44,144,33,80,2022-05-31,2022-06-25,2022-06-24,Delivered,0,10683.82,3226.47,545
232,SHP-00232,237,56,114,22,164,2023-06-21,2023-06-25,2023-06-25,In Transit,0,11259.1,894.14,690
233,SHP-00233,147,44,40,21,41,2024-01-09,2024-01-15,2024-01-19,Delivered,4,6787.91,2359.48,950
234,SHP-00234,239,17,121,20,95,2022-01-29,2022-02-23,2022-02-23,Delivered,0,11410.61,2976.23,744
235,SHP-00235,105,23,166,9,250,2021-10-24,2021-11-03,2021-11-02,In Transit,0,9414.02,2085.73, 
236,SHP-00236,205,14,159,33,113,2023-07-25,2023-08-19,2023-09-11,Delivered,23,8279.11,3954.64,574
237,SHP-00237,233,46,125,16,72,2022-07-16,2022-07-20,2022-07-26,Cancelled,6,13085.39,4733.55,400
238,SHP-00238,199,47,106,10,224,2024-05-27,2024-06-15,2024-06-15,In Transit,0,8190.93,555.33,768
239,SHP-00239,75,45,6,9,198,2021-11-05,2021-11-24,,Delivered,,9697.92,2733.02,571
